基金代码,1998-03-31,1998-06-30,1998-09-30,1998-12-31,1999-03-31,1999-06-30,1999-09-30,1999-12-31,2000-03-31,2000-06-30,2000-09-30,2000-12-31,2001-03-31,2001-06-30,2001-09-30,2001-12-31,2002-03-31,2002-06-30,2002-09-30,2002-12-31,2003-03-31,2003-06-30,2003-09-30,2003-12-31,2004-03-31,2004-06-30,2004-09-30,2004-12-31,2005-03-31,2005-06-30,2005-09-30,2005-12-31,2006-03-31,2006-06-30,2006-09-30,2006-12-31,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30
002793.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.517770767211914,29.574058532714844,22.508970260620117,16.372535705566406,16.846405029296875,19.273406982421875,14.76632022857666,9.318924903869629,20.39311981201172,0.0,19.126564025878906,19.51780891418457,18.78744888305664,17.965717315673828,17.487262725830078,16.33298110961914,19.51221466064453,15.110567092895508
004442.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.701154708862305,15.760740280151367,15.44467830657959,15.297898292541504,14.501842498779297,13.967360496520996,9.503827095031738,11.845264434814453,12.65110969543457,11.925585746765137,13.97968864440918,11.456029891967773,9.292000770568848,14.36982250213623,14.736042976379395,14.93575668334961,14.861236572265625
004428.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.701592445373535,4.447409152984619,4.7102813720703125,4.063096523284912,2.6038248538970947,0.0,1.3509125709533691,0.0,0.9822790622711182,2.3190174102783203,4.790414333343506,7.188178062438965,15.016932487487793,0.44672539830207825,5.661102771759033,6.516894340515137
003567.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.47978210449219,76.50302124023438,74.46382904052734,74.21460723876953,71.07628631591797,65.54653930664062,65.9489517211914,70.74716186523438,69.2530517578125,66.37577819824219,76.62166595458984,91.95442199707031,89.59195709228516,89.41190338134766,82.65602111816406,89.87115478515625,86.62127685546875
001789.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.1952896118164,92.06285858154297,93.91156005859375,22.4490966796875,40.708133697509766,48.9144287109375,84.0100326538086,51.092350006103516,24.537416458129883,48.00252151489258,48.394744873046875,23.19978141784668,26.048927307128906,33.837547302246094,44.52001190185547,45.14458465576172
160422!1.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.74444580078125,90.57377624511719,93.79405212402344,95.67626953125,94.53904724121094,95.06752014160156,,,,,,,,,,,
003942.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.965888500213623,6.947115898132324,31.163724899291992,3.3597519397735596,0.0,,,,,,,,,,,,,
003595.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.507366180419922,47.75943374633789,45.266231536865234,71.18913269042969,2.5401227474212646,9.58834457397461,0.0,0.0,0.0,0.0,0.0,0.0,59.80419158935547,79.37300872802734,67.5098648071289,56.6907844543457,35.78369140625,38.83113479614258
003116.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.864412307739258,10.121044158935547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.631620407104492,17.660306930541992,18.503114700317383,19.651012420654297,24.942873001098633,20.328102111816406,21.921363830566406,20.413429260253906,18.126949310302734
003802.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.373571395874023,15.379354476928711,19.68246078491211,25.11675453186035,8.690797805786133,3.4182984828948975,0.0,,,,,,,,,,,
519633.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.216351509094238,14.511490821838379,55.08650207519531,63.63658905029297,78.32609558105469,0.0,,,,,,,,,,,
003623.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.87964630126953,94.71018981933594,94.94438934326172,94.78018188476562,94.84870147705078,85.93716430664062,84.19920349121094,94.5433120727539,80.1145248413086,86.67444610595703,94.21797180175781,,,,,,,
004113.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.253181457519531,24.561574935913086,25.602436065673828,18.82807731628418,79.68753051757812,84.41091918945312,0.0,,,,,,,,,,,
004258.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.084699630737305,23.841556549072266,26.64008903503418,23.99936294555664,15.654535293579102,10.257558822631836,11.192554473876953,22.767467498779297,27.294023513793945,25.87371826171875,27.60409927368164,24.305904388427734,19.241472244262695,25.273056030273438,28.499618530273438,26.219465255737305,19.878583908081055
004651.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.788543701171875,19.48455810546875,11.18297290802002,19.805042266845703,19.913227081298828,19.84163475036621,18.465360641479492,19.4777774810791,14.565327644348145,19.367290496826172,19.979042053222656,17.740325927734375,10.316024780273438,19.314939498901367,18.158477783203125,19.57909393310547,19.667211532592773
004237.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.11470794677734,68.83790588378906,69.16349792480469,76.80535125732422,71.68714141845703,66.1451416015625,70.44038391113281,64.65172576904297,79.75048828125,79.64041137695312,72.27497863769531,75.12705993652344,71.68603515625,79.5154800415039,76.7581787109375,78.88066101074219,74.79304504394531,71.31452178955078
001839.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.96722412109375,67.47327423095703,68.10218048095703,70.42066192626953,94.450439453125,92.98430633544922,93.62782287597656,92.83613586425781,92.90794372558594,90.64600372314453,91.45217895507812,92.96749114990234,92.90852355957031,92.43244171142578,93.25313568115234,91.42422485351562,92.15629577636719,91.84455871582031
003807.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.147911071777344,19.37615203857422,20.43006134033203,17.941015243530273,11.475568771362305,0.0,,,,,,,,,,,
001818.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.779306888580322,13.084495544433594,21.544931411743164,24.822917938232422,15.854138374328613,13.856764793395996,12.988645553588867,22.334383010864258,19.125152587890625,20.136459350585938,17.896581649780273,17.830490112304688,18.17115592956543,18.769105911254883,15.559338569641113,15.4171724319458
003647.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.56275177001953,94.95344543457031,94.21300506591797,91.08384704589844,90.43203735351562,94.9211196899414,91.82818603515625,91.73460388183594,91.80046844482422,91.89651489257812,91.71615600585938,91.5293960571289,91.38343811035156,91.27204895019531,91.19017028808594,91.2906494140625,91.8583984375,93.1185302734375
003800.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.760068893432617,20.277435302734375,20.698867797851562,7.7952351570129395,3.406257390975952,0.0,0.0,0.0,0.0,27.356582641601562,19.326993942260742,24.03135871887207,18.392498016357422,23.01424789428711,24.228893280029297,29.06745719909668,22.603893280029297,26.993896484375
004318.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.985637903213501,13.616604804992676,7.360914707183838,7.485430717468262,5.0635762214660645,17.35426902770996,7.709647178649902,12.901505470275879,13.278242111206055,0.6399433612823486,0.04851366579532623,0.0,0.0,0.0,4.275503635406494,18.29328155517578,16.8346004486084
001757.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.323856353759766,14.432887077331543,13.172833442687988,10.44622802734375,0.0,0.01820199191570282,0.0,,,,,,,,,,,
501041.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.78109359741211,25.446672439575195,4.171490669250488,4.45494270324707,0.0,14.064788818359375,24.838699340820312,20.39942741394043,16.644569396972656,12.497185707092285,32.78515625,39.57351303100586,36.5576286315918,32.64912414550781,10.494850158691406
004550.OF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13667471706867218,0.7758238315582275,4.267585754394531,9.950702667236328,17.199113845825195,7.37161111831665,14.632559776306152,19.664108276367188,19.21868896484375,1.936029076576233,0.0,0.0,,,,
